Timestamp, Location, SSID, BSSID, Signal Strength, Frequency
2024-11-14 09:48:32, LAB_0_9AM_B_1, DAIICT_Student, 18:4b:0d:dc:30:98, -51, 2412MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DAIICT_STAFF, 18:4b:0d:1c:30:98, -53, 2412MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, Attendance, 58:b6:33:7a:1c:d8, -56, 2412MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -56, 2412MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DAIICT_Student, 60:d0:2c:df:63:9c, -66, 5220MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DA_Public, 58:b6:33:ba:1c:d8, -56, 2412MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DA_Public, 18:4b:0d:9c:30:98, -52, 2412MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DAIICT_Student, 44:1e:98:fb:55:d8, -74, 2412MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DAIICT_Student, 24:79:2a:34:ea:0d, -69, 5745MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, Attendance, 18:4b:0d:5c:30:98, -53, 2412MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DAIICT_STAFF, 1c:b9:c4:3d:84:e8, -76, 2462MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DAIICT_Student, 58:b6:33:fa:1c:d8, -56, 2412MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, Lab_211, 24:c9:a1:20:e7:48, -72, 2447MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, Attendance, 1c:b9:c4:7d:84:e8, -76, 2462MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, Attendance, 60:d0:2c:5f:63:98, -72, 2462MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DA_Public, 24:79:2a:f4:ea:08, -67, 2437MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DAIICT_Student, 1c:b9:c4:fd:84:e8, -76, 2462MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, Attendance, 24:79:2a:b4:ea:08, -68, 2437MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DA_Public, 44:1e:98:bb:55:d8, -74, 2412MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DAIICT_STAFF, 24:79:2a:74:ea:0c, -69, 5745MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DA_Public, 44:1e:98:bb:55:dc, -85, 5180MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DAIICT_STAFF, 24:79:2a:74:ea:08, -67, 2437MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DAIICT_STAFF, 44:1e:98:3b:55:d8, -75, 2412MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DA_Public, 60:d0:2c:9f:63:9c, -63, 5220MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DAIICT_Student, 24:79:2a:34:ea:09, -67, 2437MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, Attendance, 44:1e:98:7b:55:d8, -74, 2412MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DAIICT_STAFF, 60:d0:2c:1f:63:9c, -64, 5220MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, Attendance, 60:d0:2c:5f:63:9c, -65, 5220MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, Attendance, 24:79:2a:b4:ea:0c, -69, 5745MHz
2024-11-14 09:48:32, LAB_0_9AM_B_1, DA_Public, 24:79:2a:f4:ea:0c, -69, 5745MHz
