Timestamp, Location, SSID, BSSID, Signal Strength, Frequency
2024-11-14 12:00:08, LAB_1_12PM_A_1, DAIICT_Student, 18:4b:0d:dc:30:98, -62, 2412MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, Attendance, 58:b6:33:7a:1c:d8, -61, 2412MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, DAIICT_STAFF, 18:4b:0d:1c:30:98, -61, 2412MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -61, 2412MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, DAIICT_Student, 60:d0:2c:df:63:9c, -48, 5220MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, Attendance, 18:4b:0d:63:60:78, -70, 2437MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, DAIICT_STAFF, 18:4b:0d:23:60:78, -70, 2437MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, DA_Public, 58:b6:33:ba:1c:d8, -61, 2412MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, Dell-Gujcost, 78:98:e8:7a:2c:1f, -85, 2472MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, DA_Public, 18:4b:0d:9c:30:98, -61, 2412MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, DAIICT_Student, 24:79:2a:34:ea:0d, -66, 5745MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, Attendance, 18:4b:0d:5c:30:98, -61, 2412MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, DAIICT_STAFF, 1c:b9:c4:3d:84:e8, -64, 2462MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, Attendance, 18:4b:0d:63:60:7c, -83, 5805MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, DAIICT_Student, 58:b6:33:fa:1c:d8, -61, 2412MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, Attendance, 1c:b9:c4:7d:84:e8, -64, 2462MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, Lab_211, 24:c9:a1:20:e7:48, -69, 2447MHz
2024-11-14 12:00:08, LAB_1_12PM_A_1, Attendance, 60:d0:2c:5f:63:98, -49, 2437MHz
