Timestamp, Location, SSID, BSSID, Signal Strength, Frequency
2024-11-14 12:18:54, LAB_2_12PM_A_1, DAIICT_Student, 60:d0:2c:df:63:9c, -69, 5220MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, DAIICT_Student, 44:1e:98:fb:55:d8, -82, 2462MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, DAIICT_Student, 24:79:2a:34:ea:0d, -36, 5745MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, Attendance, 1c:b9:c4:7d:84:e8, -81, 2462MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, Attendance, 60:d0:2c:5f:63:98, -71, 2462MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, DAIICT_Student, 58:b6:33:fa:1c:dc, -84, 5540MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, DA_Public, 24:79:2a:f4:ea:08, -28, 2412MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, DAIICT_Student, 1c:b9:c4:fd:84:e8, -81, 2462MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, Attendance, 24:79:2a:b4:ea:08, -29, 2412MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, DA_Public, 44:1e:98:bb:55:d8, -82, 2462MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, Galaxy A53 5G, c6:1a:81:94:62:08, -86, 2437MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, DAIICT_STAFF, 24:79:2a:74:ea:0c, -37, 5745MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, DAIICT_STAFF, 58:b6:33:3a:1c:dc, -83, 5540MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, DA_Public, 58:b6:33:ba:1c:dc, -84, 5540MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, DAIICT_STAFF, 24:79:2a:74:ea:08, -29, 2412MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, DA_Public, 60:d0:2c:9f:63:9c, -69, 5220MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, DAIICT_Student, 24:79:2a:34:ea:09, -28, 2412MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, DA_Public, 24:79:2a:f4:ea:0c, -36, 5745MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, Attendance, 24:79:2a:b4:ea:0c, -37, 5745MHz
2024-11-14 12:18:54, LAB_2_12PM_A_1, Attendance, 60:d0:2c:5f:63:9c, -70, 5220MHz
