Timestamp, Location, SSID, BSSID, Signal Strength, Frequency
2024-11-14 12:24:25, LAB_2_12PM_C_13, , 9e:53:22:d7:13:f8, -79, 5765MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, DA_Public, 1c:b9:c4:bd:84:ec, -76, 5580MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, Attendance, 58:b6:33:7a:1c:d8, -67, 2412MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -66, 2412MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, Lab_211_5G, 24:c9:a1:20:e7:4c, -71, 5280MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, DAIICT_Student, 60:d0:2c:df:63:9c, -74, 5220MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, TP-Link_13F8_5G_203, 9c:53:22:e7:13:fa, -79, 5765MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, DA_Public, 18:4b:0d:a3:75:38, -60, 2412MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, DAIICT_Student, 18:4b:0d:e3:75:38, -60, 2412MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, DA_Public, 58:b6:33:ba:1c:d8, -66, 2412MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, ROBOTIC_LAB, 78:98:e8:7a:2c:1d, -77, 2472MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, Dell-Gujcost, 78:98:e8:7a:2c:1f, -77, 2472MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, DAIICT_Student, 1c:b9:c4:fd:84:ec, -76, 5580MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, DAIICT_Student, 24:79:2a:34:ea:0d, -73, 5745MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, Recover.Me-3D84E0, 1c:b9:c4:7d:84:e7, -76, 5580MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, Lab_211, 24:c9:a1:20:e7:48, -59, 2447MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, DAIICT_Student, 58:b6:33:fa:1c:d8, -67, 2412MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, DAIICT_Student, 58:b6:33:fa:1c:dc, -82, 5540MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, DA_Public, 24:79:2a:f4:ea:08, -67, 2412MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, Attendance, 24:79:2a:b4:ea:08, -67, 2412MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, Galaxy A53 5G, c6:1a:81:94:62:08, -79, 2437MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, DAIICT_STAFF, 24:79:2a:74:ea:0c, -74, 5745MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, DAIICT_STAFF, 58:b6:33:3a:1c:dc, -82, 5540MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, Attendance, 1c:b9:c4:7d:84:ec, -76, 5580MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, DA_Public, 58:b6:33:ba:1c:dc, -82, 5540MHz
2024-11-14 12:24:25, LAB_2_12PM_C_13, Attendance, 58:b6:33:7a:1c:dc, -82, 5540MHz
