Timestamp, Location, SSID, BSSID, Signal Strength, Frequency
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_Student, 18:4b:0d:dc:30:98, -74, 2412MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DA_Public, 1c:b9:c4:bd:84:ec, -86, 5580MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_STAFF, 18:4b:0d:1c:30:98, -74, 2412MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, Attendance, 58:b6:33:7a:1c:d8, -84, 2412MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, Lab_211_5G, 24:c9:a1:20:e7:4c, -76, 5280MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -85, 2412MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_Student, 60:d0:2c:df:63:9c, -78, 5220MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, TP-Link_13F8_5G_203, 9c:53:22:e7:13:fa, -89, 5765MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DA_Public, 18:4b:0d:a3:75:38, -75, 2412MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_Student, 18:4b:0d:e3:75:38, -75, 2412MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, dasolarpnl, c0:c5:20:24:87:18, -48, 2467MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, , 9e:53:22:a7:13:f8, -85, 2417MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_STAFF, 18:4b:0d:23:60:78, -57, 2437MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, Attendance, 18:4b:0d:63:60:78, -57, 2437MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DA_Public, 58:b6:33:ba:1c:d8, -84, 2412MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DA_Public, 18:4b:0d:9c:30:98, -74, 2412MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_Student, 1c:b9:c4:fd:84:ec, -86, 5580MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, Attendance, 18:4b:0d:5c:30:98, -74, 2412MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, Attendance, 18:4b:0d:63:60:7c, -65, 5805MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_STAFF, 18:4b:0d:23:75:3c, -73, 5600MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_Student, 58:b6:33:fa:1c:d8, -85, 2412MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, Attendance, 18:4b:0d:63:75:3c, -73, 5600MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_Student, 18:4b:0d:dc:30:9c, -82, 5540MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, Attendance, 44:1e:98:7b:55:dc, -64, 5180MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_Student, 18:4b:0d:e3:60:7c, -65, 5805MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_STAFF, 44:1e:98:3b:55:dc, -64, 5180MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_STAFF, 18:4b:0d:23:60:7c, -65, 5805MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, Attendance, 18:4b:0d:63:75:38, -76, 2412MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DA_Public, 18:4b:0d:a3:60:7c, -65, 5805MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, Attendance, 1c:b9:c4:7d:84:ec, -87, 5580MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DA_Public, 44:1e:98:bb:55:dc, -63, 5180MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DA_Public, 18:4b:0d:a3:75:3c, -73, 5600MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DA_Public, 18:4b:0d:a3:60:78, -56, 2437MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_Student, 18:4b:0d:e3:60:78, -56, 2437MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_STAFF, 1c:b9:c4:3d:84:ec, -86, 5580MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DA_Public, 60:d0:2c:9f:63:9c, -78, 5220MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_STAFF, 18:4b:0d:1c:30:9c, -83, 5540MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, Attendance, 18:4b:0d:5c:30:9c, -82, 5540MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_STAFF, 18:4b:0d:23:75:38, -76, 2412MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DA_Public, 18:4b:0d:9c:30:9c, -82, 5540MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, Attendance, 44:1e:98:7b:55:d8, -47, 2412MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_STAFF, 60:d0:2c:1f:63:9c, -79, 5220MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, Attendance, 60:d0:2c:5f:63:9c, -79, 5220MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_Student, 44:1e:98:fb:55:dc, -69, 5180MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, DAIICT_Student, 18:4b:0d:e3:75:3c, -73, 5600MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, TP-Link_13F8_203, 9c:53:22:e7:13:f8, -87, 2417MHz
2024-11-14 10:20:27, LAB_2_9AM_C_1, AP_1723919793, 9c:d8:63:cd:d0:1c, -70, 2467MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_Student, 18:4b:0d:dc:30:98, -74, 2412MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DA_Public, 1c:b9:c4:bd:84:ec, -86, 5580MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_STAFF, 18:4b:0d:1c:30:98, -74, 2412MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, Attendance, 58:b6:33:7a:1c:d8, -84, 2412MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, Lab_211_5G, 24:c9:a1:20:e7:4c, -76, 5280MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -85, 2412MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_Student, 60:d0:2c:df:63:9c, -78, 5220MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, TP-Link_13F8_5G_203, 9c:53:22:e7:13:fa, -89, 5765MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DA_Public, 18:4b:0d:a3:75:38, -75, 2412MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_Student, 18:4b:0d:e3:75:38, -75, 2412MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, dasolarpnl, c0:c5:20:24:87:18, -48, 2467MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, , 9e:53:22:a7:13:f8, -85, 2417MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_STAFF, 18:4b:0d:23:60:78, -57, 2437MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, Attendance, 18:4b:0d:63:60:78, -57, 2437MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DA_Public, 58:b6:33:ba:1c:d8, -84, 2412MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DA_Public, 18:4b:0d:9c:30:98, -74, 2412MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_Student, 1c:b9:c4:fd:84:ec, -86, 5580MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, Attendance, 18:4b:0d:5c:30:98, -74, 2412MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, Attendance, 18:4b:0d:63:60:7c, -65, 5805MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_STAFF, 18:4b:0d:23:75:3c, -73, 5600MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_Student, 58:b6:33:fa:1c:d8, -85, 2412MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, Attendance, 18:4b:0d:63:75:3c, -73, 5600MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_Student, 18:4b:0d:dc:30:9c, -82, 5540MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, Attendance, 44:1e:98:7b:55:dc, -64, 5180MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_Student, 18:4b:0d:e3:60:7c, -65, 5805MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_STAFF, 44:1e:98:3b:55:dc, -64, 5180MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_STAFF, 18:4b:0d:23:60:7c, -65, 5805MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, Attendance, 18:4b:0d:63:75:38, -76, 2412MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DA_Public, 18:4b:0d:a3:60:7c, -65, 5805MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, Attendance, 1c:b9:c4:7d:84:ec, -87, 5580MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DA_Public, 44:1e:98:bb:55:dc, -63, 5180MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DA_Public, 18:4b:0d:a3:75:3c, -73, 5600MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DA_Public, 18:4b:0d:a3:60:78, -56, 2437MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_Student, 18:4b:0d:e3:60:78, -56, 2437MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_STAFF, 1c:b9:c4:3d:84:ec, -86, 5580MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DA_Public, 60:d0:2c:9f:63:9c, -78, 5220MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_STAFF, 18:4b:0d:1c:30:9c, -83, 5540MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, Attendance, 18:4b:0d:5c:30:9c, -82, 5540MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_STAFF, 18:4b:0d:23:75:38, -76, 2412MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DA_Public, 18:4b:0d:9c:30:9c, -82, 5540MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, Attendance, 44:1e:98:7b:55:d8, -47, 2412MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_STAFF, 60:d0:2c:1f:63:9c, -79, 5220MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, Attendance, 60:d0:2c:5f:63:9c, -79, 5220MHz
2024-11-14 10:20:28, LAB_2_9AM_C_1, DAIICT_Student, 44:1e:98:fb:55:dc, -69, 5180MHz
