Timestamp, Location, SSID, BSSID, Signal Strength, Frequency
2024-11-14 10:04:27, LAB_2_9AM_P_1, DA_Public, 1c:b9:c4:bd:84:ec, -85, 5580MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, Attendance, 58:b6:33:7a:1c:d8, -71, 2412MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, Lab_211_5G, 24:c9:a1:20:e7:4c, -70, 5280MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, DAIICT_Student, 60:d0:2c:df:63:9c, -72, 5220MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, DA_Public, 18:4b:0d:a3:75:38, -75, 2412MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, DAIICT_Student, 18:4b:0d:e3:75:38, -73, 2412MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, , 9e:53:22:a7:13:f8, -77, 2417MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, DAIICT_Student, 1c:b9:c4:fd:84:ec, -85, 5580MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, Attendance, 1c:b9:c4:7d:84:e8, -59, 2462MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, Lab_211, 24:c9:a1:20:e7:48, -63, 2447MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, DAIICT_STAFF, 18:4b:0d:23:75:3c, -81, 5600MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, Attendance, 18:4b:0d:63:75:3c, -81, 5600MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, Attendance, 60:d0:2c:5f:63:98, -74, 2462MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, DAIICT_Student, 58:b6:33:fa:1c:dc, -79, 5540MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, DA_Public, 24:79:2a:f4:ea:08, -67, 2437MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, Attendance, 24:79:2a:b4:ea:08, -69, 2437MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, Attendance, 18:4b:0d:63:75:38, -76, 2412MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, DAIICT_STAFF, 58:b6:33:3a:1c:dc, -79, 5540MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, Attendance, 1c:b9:c4:7d:84:ec, -85, 5580MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, DA_Public, 58:b6:33:ba:1c:dc, -79, 5540MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, Attendance, 58:b6:33:7a:1c:dc, -79, 5540MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, DA_Public, 18:4b:0d:a3:75:3c, -80, 5600MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, DAIICT_STAFF, 24:79:2a:74:ea:08, -69, 2437MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, DAIICT_STAFF, 1c:b9:c4:3d:84:ec, -85, 5580MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, DA_Public, 60:d0:2c:9f:63:9c, -72, 5220MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, DAIICT_STAFF, 18:4b:0d:23:75:38, -76, 2412MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, Attendance, 60:d0:2c:5f:63:9c, -74, 5220MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, DAIICT_STAFF, 60:d0:2c:1f:63:9c, -74, 5220MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, DAIICT_Student, 18:4b:0d:e3:75:3c, -80, 5600MHz
2024-11-14 10:04:27, LAB_2_9AM_P_1, TP-Link_13F8_203, 9c:53:22:e7:13:f8, -77, 2417MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, DA_Public, 1c:b9:c4:bd:84:ec, -85, 5580MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, Attendance, 58:b6:33:7a:1c:d8, -71, 2412MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, Lab_211_5G, 24:c9:a1:20:e7:4c, -70, 5280MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, DAIICT_Student, 60:d0:2c:df:63:9c, -72, 5220MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, DA_Public, 18:4b:0d:a3:75:38, -75, 2412MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, DAIICT_Student, 18:4b:0d:e3:75:38, -73, 2412MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, , 9e:53:22:a7:13:f8, -77, 2417MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, DAIICT_Student, 1c:b9:c4:fd:84:ec, -85, 5580MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, Attendance, 1c:b9:c4:7d:84:e8, -59, 2462MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, Lab_211, 24:c9:a1:20:e7:48, -63, 2447MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, DAIICT_STAFF, 18:4b:0d:23:75:3c, -81, 5600MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, Attendance, 18:4b:0d:63:75:3c, -81, 5600MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, Attendance, 60:d0:2c:5f:63:98, -74, 2462MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, DAIICT_Student, 58:b6:33:fa:1c:dc, -79, 5540MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, DA_Public, 24:79:2a:f4:ea:08, -67, 2437MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, Attendance, 24:79:2a:b4:ea:08, -69, 2437MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, Attendance, 18:4b:0d:63:75:38, -76, 2412MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, DAIICT_STAFF, 58:b6:33:3a:1c:dc, -79, 5540MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, Attendance, 1c:b9:c4:7d:84:ec, -85, 5580MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, DA_Public, 58:b6:33:ba:1c:dc, -79, 5540MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, Attendance, 58:b6:33:7a:1c:dc, -79, 5540MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, DA_Public, 18:4b:0d:a3:75:3c, -80, 5600MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, DAIICT_STAFF, 24:79:2a:74:ea:08, -69, 2437MHz
2024-11-14 10:04:28, LAB_2_9AM_P_1, DAIICT_STAFF, 1c:b9:c4:3d:84:ec, -85, 5580MHz
